Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
1	125	538	140185	0	1	0.311764011841495	0.305
2	56	498	115440	0	1	0.303687127512128	0.294
3	37	130	8128	0	1	0.333455585629921	0.321
4	36	674	206403	0	1	0.310983619424136	0.303
5	35	833	310866	0	1	0.288223929281427	0.275
6	26	201	19110	0	1	0.321103244374673	0.316
7	25	323	50721	0	1	0.350348139823742	0.352
8	24	175	14878	0	1	0.334852533942734	0.319
9	20	192	17391	0.016	1	0.354625495946179	0.348
10	19	530	114960	0	1	0.282237708768267	0.266
11	16	223	22366	0	1	0.322532102298131	0.303
12	15	23	210	0.037	0.915	0.323357142857143	0.3025
13	14	79	2926	0	1	0.374674641148325	0.363
14	14	535	132355	0	1	0.321871074005515	0.313
15	14	150	10878	0	1	0.335682570325427	0.319
16	14	33	528	0.022	1	0.3559375	0.335
17	12	117	6555	0	1	0.364049122807018	0.353
18	12	125	7381	0.016	0.928	0.352284514293456	0.346
19	11	41	820	0	0.906	0.3259	0.326
20	11	132	8128	0	0.997	0.398710506889764	0.4
21	9	61	1770	0.044	0.915	0.379922598870056	0.378
22	9	110	5995	0	0.987	0.380227356130108	0.377
23	9	94	4278	0	1	0.333451846657317	0.319
24	9	288	37401	0	1	0.2625631934975	0.249
25	9	18	153	0	1	0.275137254901961	0.261
26	8	39	741	0	1	0.33476383265857	0.326
27	8	218	22791	0	1	0.3375053749287	0.331
28	7	24	276	0	1	0.290528985507246	0.2505
29	7	13	78	0.043	0.799	0.363435897435897	0.322
30	6	39	741	0.018	0.978	0.323128205128205	0.277
31	6	175	14878	0	1	0.29653763946767	0.287
32	6	9	28	0.057	0.681	0.328321428571429	0.3125
33	6	13	78	0.202	0.815	0.488782051282051	0.5305
34	5	82	3240	0	1	0.356237962962963	0.344
35	5	113	5886	0	1	0.353373258579681	0.343
36	5	8	28	0.108	0.867	0.410821428571429	0.353
37	5	57	1540	0.032	1	0.398254545454545	0.4225
38	5	35	406	0	0.904	0.259650246305419	0.2175
39	5	52	1326	0	1	0.346460030165913	0.333
40	5	22	231	0.035	0.8	0.303991341991342	0.3
41	5	65	2016	0	1	0.349421130952381	0.328
42	5	8	28	0.192	0.864	0.433142857142857	0.359
43	5	9	36	0.211	0.828	0.493722222222222	0.4905
44	5	9	15	0	0.876	0.319	0.28
45	4	23	253	0	1	0.354640316205534	0.306
46	4	16	105	0.025	0.915	0.37332380952381	0.346
47	4	95	4371	0	0.961	0.370923587279799	0.365
48	4	3	3	0.154	0.275	0.206	0.189
49	4	15	91	0.248	0.852	0.471703296703297	0.451
50	4	20	190	0.06	0.955	0.423942105263158	0.3665
51	4	14	78	0.043	0.915	0.373487179487179	0.3545
52	4	77	2850	0	1	0.364742456140351	0.367
53	4	169	13530	0	1	0.325485587583149	0.322
54	4	42	741	0	1	0.40791632928475	0.381
55	4	10	45	0.078	0.713	0.365666666666667	0.353
56	4	7	21	0.151	0.701	0.349761904761905	0.317
57	4	23	253	0.009	0.915	0.346636363636364	0.312
58	4	23	253	0.023	0.837	0.336577075098814	0.335
59	4	6	15	0.169	0.718	0.4362	0.425
60	3	34	528	0	1	0.34617803030303	0.3195
61	3	0	1	0	0	0	0
62	3	55	1431	0.019	0.915	0.418825296995108	0.445
63	3	0	1	0	0	0	0
64	3	35	595	0.041	1	0.383842016806723	0.36
65	3	59	1711	0.022	1	0.386091174751607	0.37
66	3	21	210	0.015	0.928	0.332023809523809	0.3385
67	3	7	21	0.062	0.905	0.245666666666667	0.193
68	3	29	378	0	1	0.343452380952381	0.328
69	3	1	1	1	1	1	1
70	3	5	10	0.102	0.532	0.3025	0.276
71	3	10	45	0.147	0.787	0.369577777777778	0.355
72	3	172	13861	0	0.991	0.344633071206984	0.346
73	3	11	55	0.035	1	0.426127272727273	0.387
74	3	11	55	0.192	0.757	0.463981818181818	0.452
75	3	6	15	0.254	0.757	0.4546	0.456
76	3	79	3081	0	1	0.330301200908796	0.307
77	3	11	55	0.028	0.875	0.317127272727273	0.249
78	3	110	5778	0	0.937	0.403438213914849	0.407
79	3	8	28	0.047	0.87	0.313928571428571	0.3045
80	3	96	4186	0	1	0.328543717152413	0.32
81	2	323	50721	0	1	0.369069675282427	0.374
82	2	88	3741	0	1	0.363431970061481	0.343
83	2	3	3	0.177	0.506	0.301	0.22
84	2	15	105	0.075	0.915	0.362057142857143	0.34
85	2	1	1	1	1	1	1
86	2	12	66	0.069	0.915	0.41930303030303	0.414
87	2	20	171	0.105	0.843	0.437245614035088	0.439
88	2	10	45	0.048	0.915	0.352466666666667	0.306
89	2	18	153	0.087	1	0.494601307189542	0.427
90	2	11	55	0.017	0.795	0.2952	0.295
91	2	3	3	0.263	0.306	0.283666666666667	0.282
92	2	5	10	0.026	0.831	0.3533	0.2665
93	2	85	3486	0	1	0.335627653471027	0.313
94	2	61	1830	0	0.915	0.370373224043716	0.363
95	2	63	1711	0	0.987	0.271066043249562	0.255
96	2	2	1	0.306	0.306	0.306	0.306
97	2	16	105	0.015	0.714	0.392333333333333	0.41
98	2	74	2628	0	1	0.385795662100457	0.417
99	2	705	219453	0	1	0.299876433678282	0.291
100	2	4	6	0.1	0.569	0.367	0.3915
101	2	20	171	0.074	0.906	0.355959064327485	0.337
102	2	7	21	0.24	0.757	0.457523809523809	0.446
103	2	34	528	0.028	0.906	0.362172348484848	0.3455
104	2	220	23005	0	1	0.342714496848511	0.346
105	2	33	528	0.041	0.915	0.457202651515151	0.4845
106	2	11	55	0.117	0.756	0.347781818181818	0.32
107	2	100	4851	0	1	0.333867862296434	0.314
108	2	30	435	0.098	0.915	0.43167816091954	0.423
109	2	2	1	0.335	0.335	0.335	0.335
110	2	11	55	0	0.915	0.304527272727273	0.268
111	2	1	1	1	1	1	1
112	2	49	1176	0	0.945	0.377741496598639	0.367
113	2	758	252405	0	1	0.292273500921139	0.281
114	2	0	1	0	0	0	0
115	2	18	153	0.055	1	0.344470588235294	0.307
116	2	85	3486	0.012	1	0.363715433161216	0.3495
117	2	107	5253	0	1	0.356370645345517	0.336
118	2	25	300	0	0.843	0.34765	0.328
119	2	4	6	0.339	0.942	0.627166666666667	0.619
120	2	56	1485	0.02	0.915	0.438973063973064	0.466
121	2	15	105	0.057	0.978	0.36187619047619	0.265
122	2	88	3655	0	1	0.351585499316005	0.331
123	2	24	276	0.028	0.876	0.319771739130435	0.2925
124	2	6	15	0.284	0.899	0.4808	0.374
125	2	3	3	0.119	0.362	0.280666666666667	0.361
126	2	49	1176	0	1	0.34387925170068	0.3375
127	2	4	6	0.084	0.915	0.384666666666667	0.3395
128	2	34	561	0.042	0.852	0.451099821746881	0.485
129	2	9	36	0.233	0.815	0.47175	0.467
130	2	44	820	0	1	0.275457317073171	0.2415
131	2	13	78	0	0.751	0.39825641025641	0.403
132	2	9	36	0.262	0.936	0.449083333333333	0.419
133	2	205	19306	0	1	0.280854449393971	0.265
134	2	24	276	0.043	0.915	0.408655797101449	0.411
135	2	74	2628	0	0.976	0.358654870624049	0.365
136	2	21	210	0.041	0.906	0.371533333333333	0.3255
137	2	42	820	0.078	1	0.393274390243902	0.378
138	2	11	55	0.029	1	0.256454545454545	0.166
